"","video","Bias","positive","negative","sentiment","lgpp","nrc_el","topic"
"71","-0w0dM_e9a8","",901,294,"positive","CULTURE","anger","diplomacy"
"72","-0xDTScrZA4","",NA,NA,NA,NA,NA,NA
"73","-13Hn43BMjc","",43,20,"positive","RURAL","anticipation","military"
"74","-18kVzU4MMQ","",72,45,"positive","CULTURE","disgust","society"
"87","-1Aud9icDrc","",NA,NA,NA,NA,NA,NA
"88","-1HtuVn7QQ4","",50,51,"negative","GROUPS","surprise","economy"
"90","-1M2i5Am0QE","",NA,NA,NA,NA,NA,NA
"91","-1NHBJ5Rhv0","",16,1,"positive","CULTURE","joy","society"
"92","-1OVBuRZ2to","",NA,NA,NA,NA,NA,NA
"96","-1PHfTkocXo","",73,39,"positive","RURAL","anticipation","military"
"125","-1QpScB-HJg","",264,153,"positive","CULTURE","joy","economy"
"127","-1TLCOLJ0PE","L",NA,NA,NA,NA,NA,NA
"155","-1VV2nh8GtE","LC",149,171,"negative","URBAN","surprise","military"
"163","-1W3Ztwisl0","",336,227,"positive","INSTITUTIONS","trust","politics"
"164","-1WWAylUiBI","LC",NA,NA,NA,NA,NA,NA
"166","-1_6P3aXL3c","",237,97,"positive","ECONOMY","trust","economy"
"171","-1_YVv3YlpM","",107,57,"positive","VALUES","anticipation","politics"
"172","-1aFfWWt5KA","L",90,12,"positive","CULTURE","surprise","economy"
"179","-1h_Qqn_NnY","",67,46,"positive","VALUES","positive","society"
"180","-1htC7EyPKo","L",NA,NA,NA,NA,NA,NA
"186","-1j4XGnX0-Y","",12,9,"positive","CULTURE","positive","economy"
"187","-1lHYs--Pik","",NA,NA,NA,NA,NA,NA
"190","-1pAWgLFnck","",NA,NA,NA,NA,NA,NA
"191","-1trn-5NgMc","LC",NA,NA,NA,NA,NA,NA
"192","-2-3_Xctrmk","",280,222,"positive","LAW_AND_ORDER","fear","military"
"193","-2-IrNr3EpY","",540,305,"positive","ENVIRONMENT","disgust","diplomacy"
"194","-23ZfhKcEps","",858,393,"positive","ECONOMY","positive","economy"
"201","-24m0LJV1As","LC",17,52,"negative","LAW_AND_ORDER","fear","society"
"205","-26VeObh0U8","",NA,NA,NA,NA,NA,NA
"210","-2LoJ6wXWUw","",NA,NA,NA,NA,NA,NA
"212","-2MWnDAQUEI","",141,71,"positive","ECONOMY","sadness","economy"
"236","-2P_X5xNEi8","",NA,NA,NA,NA,NA,NA
"237","-2Q97pXZE2g","",83,90,"negative","CULTURE","negative","economy"
"239","-2QaTyDJDEI","",NA,NA,NA,NA,NA,NA
"240","-2XjIx8s0Vg","C",NA,NA,NA,NA,NA,NA
"241","-2_Jma6RLUw","",73,32,"positive","RURAL","anticipation","diplomacy"
"247","-2aVkGcI7ZA","",NA,NA,NA,NA,NA,NA
"248","-2bzFq2h7N4","",31,44,"negative","LAW_AND_ORDER","fear","military"
"255","-2eh1B7Czus","",529,528,"positive","LAW_AND_ORDER","fear","military"
"260","-2fVT9JfqIs","",732,497,"positive","URBAN","sadness","society"
"261","-2iB6UXFDlk","",NA,NA,NA,NA,NA,NA
"265","-2q5kzbYZ9I","",NA,NA,NA,NA,NA,NA
"266","-2sV19D98JY","",280,109,"positive","ECONOMY","sadness","economy"
"267","-2s_VjA7pfI","",NA,NA,NA,NA,NA,NA
"268","-3-lkB3MVSY","",NA,NA,NA,NA,NA,NA
"269","-3AGlBYyLjo","",163,54,"positive","GROUPS","joy","society"
"273","-3BXF2aY3Ys","C",73,115,"negative","ENVIRONMENT","sadness","society"
"274","-3Pj5sNqf-Y","",NA,NA,NA,NA,NA,NA
"275","-3UpAGRJ9XM","LC",NA,NA,NA,NA,NA,NA
"280","-3X4TpnV3YA","",452,103,"positive","INSTITUTIONS","positive","society"
"293","-3mP3Rb2g-I","",NA,NA,NA,NA,NA,NA
"294","-3odmy6rg4k","",NA,NA,NA,NA,NA,NA
"295","-3ou4Jy2T2o","LC",NA,NA,NA,NA,NA,NA
"298","-3pBdnekzy8","",NA,NA,NA,NA,NA,NA
"300","-3rtedLsJFw","LC",NA,NA,NA,NA,NA,NA
"306","-41mkJyI6Gg","L",97,20,"positive","GROUPS","joy","military"
"339","-46v93xEeXc","",NA,NA,NA,NA,NA,NA
"340","-47q4Zx2cHw","LC",NA,NA,NA,NA,NA,NA
"341","-4D_yRpduek","",874,562,"positive","ECONOMY","positive","politics"
"358","-4F-6z0hQC4","",455,45,"positive","ECONOMY","trust","economy"
"359","-4IWHSQVVjM","R",NA,NA,NA,NA,NA,NA
"366","-4L4mQT62iI","",NA,NA,NA,NA,NA,NA
"369","-4M1GRIjN_s","LC",11,13,"negative","RURAL","anger","politics"
"371","-4OBcRHX1Bc","LC",NA,NA,NA,NA,NA,NA
"381","-4PmmoHKlU8","",24,9,"positive","CULTURE","joy","economy"
"382","-4PyVHnx_7E","",NA,NA,NA,NA,NA,NA
"383","-4S0gHlKiho","",NA,NA,NA,NA,NA,NA
"384","-4TqmSVavZk","",NA,NA,NA,NA,NA,NA
"385","-4XTnHNXsGA","C",33,52,"negative","VALUES","joy","politics"
"400","-4ZUFutrSCU","",30,12,"positive","GROUPS","anger","society"
"401","-4nG7immTD4","",182,44,"positive","LAW_AND_ORDER","positive","military"
"402","-4wwCGypbzY","C",69,48,"positive","CULTURE","joy","economy"
"403","-4yHiQC2m4s","",102,36,"positive","CULTURE","negative","economy"
"404","-4z7g7qaDbs","",33,22,"positive","RURAL","anger","military"
"411","-51pxiN4NBA","",59,82,"negative","CULTURE","joy","economy"
"412","-54Em2eL-8g","",4117,2804,"positive","LAW_AND_ORDER","positive","politics"
"413","-55eZbT1PfY","",196,228,"negative","ENVIRONMENT","disgust","society"
"414","-5FxDAMJYss","",NA,NA,NA,NA,NA,NA
"416","-5HIdIE4il0","R",70,27,"positive","INSTITUTIONS","trust","diplomacy"
"420","-5O-rA5psc4","",178,66,"positive","GROUPS","negative","politics"
"421","-5QM1DBSRLw","",306,274,"positive","INSTITUTIONS","anger","politics"
"423","-5RCmu-HuTg","",51,57,"negative","VALUES","positive","politics"
"697","-5TyjlZs_HQ","",NA,NA,NA,NA,NA,NA
"698","-5t3OFNNZeU","",NA,NA,NA,NA,NA,NA
"699","-64Hqpieq0w","LC",46,2,"positive","VALUES","joy","politics"
"700","-67JfiPnjLU","",256,58,"positive","URBAN","negative","society"
"701","-68UjvpPmmA","",NA,NA,NA,NA,NA,NA
"702","-6BvA4U1dLI","",355,104,"positive","GROUPS","joy","society"
"706","-6DLT9MHO4M","",700,419,"positive","ECONOMY","sadness","economy"
"707","-6LTFCwTBaQ","L",15,10,"positive","INSTITUTIONS","trust","politics"
"790","-6N1n9yfj84","",NA,NA,NA,NA,NA,NA
"791","-6O-zRzfons","",666,215,"positive","VALUES","sadness","society"
"793","-6RpfD04fPw","",43,9,"positive","CULTURE","anticipation","diplomacy"
"795","-6TVvxs5sow","",NA,NA,NA,NA,NA,NA
"796","-6fR8oDewdg","",48,41,"positive","VALUES","positive","diplomacy"
"797","-6phri6zwtM","",NA,NA,NA,NA,NA,NA
"798","-6tFDK7z5gY","LC",NA,NA,NA,NA,NA,NA
"799","-6vKH4qQhL4","",165,80,"positive","ECONOMY","anticipation","politics"
"800","-6xrHTncpMg","",NA,NA,NA,NA,NA,NA
"801","-6yp5Jz9nVc","",NA,NA,NA,NA,NA,NA
"802","-71zdXCMU6A","LC",381,151,"positive","VALUES","positive","economy"
"807","-72JNZZBoVw","",479,215,"positive","LAW_AND_ORDER","positive","society"
"810","-72P_EFphSc","",NA,NA,NA,NA,NA,NA
"811","-7FUHsm04TQ","",1084,354,"positive","VALUES","negative","economy"
"814","-7MtxWiPxwU","",3,0,"positive","RURAL","anticipation","military"
"818","-7PUacSHEIw","",NA,NA,NA,NA,NA,NA
"819","-7PhDtkya3U","",17,3,"positive","CULTURE","anger","society"
"827","-7SlckAdyHY","RC",122,61,"positive","INSTITUTIONS","anger","economy"
"828","-7T-6XdiRTw","",NA,NA,NA,NA,NA,NA
"829","-7VMHh-OfMc","",392,344,"positive","VALUES","positive","society"
"830","-7aW8JLxcnw","LC",55,12,"positive","CULTURE","joy","society"
"839","-7axnphYbMk","LC",16,26,"negative","INSTITUTIONS","anger","politics"
"844","-7ff7fbZO5Q","",NA,NA,NA,NA,NA,NA
"846","-7fxhqCqefs","",NA,NA,NA,NA,NA,NA
"847","-7jOv_L3bko","LC",NA,NA,NA,NA,NA,NA
"848","-7lY8pemwoo","",8,28,"negative","INSTITUTIONS","trust","economy"
"849","-7nUO93bJCY","LC",28,13,"positive","INSTITUTIONS","anger","politics"
"850","-85dXjgMiSU","",NA,NA,NA,NA,NA,NA
"851","-8Bo9wMOlfk","LC",NA,NA,NA,NA,NA,NA
"852","-8CLp1uSFoA","",NA,NA,NA,NA,NA,NA
"853","-8GAQpsV4Qo","L",NA,NA,NA,NA,NA,NA
"854","-8J4wl9eUe4","",NA,NA,NA,NA,NA,NA
"855","-8U56UzhWDA","LC",18,17,"positive","INSTITUTIONS","trust","economy"
"861","-8UHjdlaKVE","",124,21,"positive","GROUPS","joy","society"
"862","-8VxdPLd-sk","",38,17,"positive","ENVIRONMENT","trust","economy"
"863","-8lgFak3RwU","",33,4,"positive","ECONOMY","sadness","economy"
"865","-8nxv5aEHFw","",368,243,"positive","INSTITUTIONS","fear","politics"
"866","-8oGY_7gZbI","",NA,NA,NA,NA,NA,NA
"870","-8p2JDTd13k","",326,193,"positive","CULTURE","anticipation","diplomacy"
"871","-8phy_R45NU","",610,254,"positive","VALUES","sadness","society"
"872","-8t8pthJa0Y","",619,270,"positive","URBAN","sadness","society"
"873","-8umKNo1zKs","",51,8,"positive","RURAL","disgust","diplomacy"
"874","-8vJXRLYsg8","",13,5,"positive","INSTITUTIONS","positive","politics"
"875","-8x2ox-fEnQ","",299,43,"positive","ECONOMY","surprise","economy"
"876","-8xfJvFqxLw","",101,11,"positive","RURAL","fear","military"
"877","-8yjOH28i0Q","",NA,NA,NA,NA,NA,NA
"878","-8ysHFWcGLk","",124,156,"negative","LAW_AND_ORDER","fear","military"
"879","-9-8gvYantk","",NA,NA,NA,NA,NA,NA
"880","-90jitH2HGo","",NA,NA,NA,NA,NA,NA
"881","-92HQA0GcI8","",89,33,"positive","ENVIRONMENT","disgust","diplomacy"
"882","-92c4fFHzIw","",NA,NA,NA,NA,NA,NA
"883","-94Ql0UphdA","C",106,64,"positive","ENVIRONMENT","negative","society"
"885","-95r2ZpLNl0","",NA,NA,NA,NA,NA,NA
"887","-96TM9hn1yA","",6,6,"positive","ECONOMY","trust","economy"
"888","-97Hflj2uqk","",250,261,"negative","LAW_AND_ORDER","negative","society"
"890","-97aztJuaAs","",62,13,"positive","GROUPS","trust","military"
"892","-9BHjLSZvxc","L",59,50,"positive","INSTITUTIONS","trust","politics"
"939","-9DztB6pi0s","",1034,582,"positive","URBAN","sadness","society"
"942","-9QYu8LtH2E","LC",162,91,"positive","RURAL","anticipation","economy"
"954","-9TZJHejccw","",NA,NA,NA,NA,NA,NA
"955","-9UlI10qg9M","",NA,NA,NA,NA,NA,NA
"956","-9WOyTh6YLE","",NA,NA,NA,NA,NA,NA
"957","-9cdRpE4KKc","LC",NA,NA,NA,NA,NA,NA
"970","-9l26VlF2to","",157,69,"positive","VALUES","sadness","society"
"971","-A182zOjRnc","",NA,NA,NA,NA,NA,NA
"972","-ABLhXnohLU","R",NA,NA,NA,NA,NA,NA
"976","-ACpA7xb_to","R",57,35,"positive","INSTITUTIONS","trust","politics"
"978","-ADoO-H_h7Q","",246,45,"positive","URBAN","sadness","economy"
"979","-AGsl-e-NuM","",NA,NA,NA,NA,NA,NA
"980","-ANzj8cByBs","",31,9,"positive","RURAL","anticipation","economy"
"982","-AQE12GH5VA","",NA,NA,NA,NA,NA,NA
"983","-ARFzXso3Ns","L",NA,NA,NA,NA,NA,NA
"984","-ASe9gZbOcY","",743,419,"positive","URBAN","surprise","society"
"986","-AZo2c3RB3I","",8,5,"positive","RURAL","joy","military"
"998","-AaKWJliosU","LC",NA,NA,NA,NA,NA,NA
"1001","-AdQLkUkui8","C",20,9,"positive","ENVIRONMENT","sadness","diplomacy"
"1003","-Af0Vvrh8Ds","",NA,NA,NA,NA,NA,NA
"1007","-Ap1qI-3nhg","",NA,NA,NA,NA,NA,NA
"1008","-AsRLLdwviM","LC",59,30,"positive","VALUES","positive","economy"
"1019","-Au3j5460Rw","",23,25,"negative","URBAN","sadness","society"
"1021","-Aw8qj3lz0Y","LC",NA,NA,NA,NA,NA,NA
"1023","-AwCbS4d9Q4","",402,151,"positive","GROUPS","anticipation","diplomacy"
"1026","-B0YEYWKPIM","",53,13,"positive","CULTURE","negative","military"
"1050","-BXigKjIrIc","",NA,NA,NA,NA,NA,NA
"1051","-BZHL-g4uDA","",182,108,"positive","LAW_AND_ORDER","fear","military"
"1057","-Bc6TRjptKI","",896,441,"positive","VALUES","positive","politics"
"1084","-BdbiZcNBXg","",66,38,"positive","VALUES","positive","politics"
"1085","-BeJdQfEp40","",95,67,"positive","URBAN","anger","military"
"1089","-BeslUoMhrc","LC",16,7,"positive","CULTURE","joy","society"
"1090","-BhYBd1ooho","",33,67,"negative","RURAL","anticipation","military"
"1092","-C3CjOkF-jY","LC",119,71,"positive","LAW_AND_ORDER","negative","economy"
"1098","-C4_ATAyTtY","",89,91,"negative","VALUES","joy","politics"
"1099","-CDSmdMIQPk","",NA,NA,NA,NA,NA,NA
"1100","-CHLNhA08b4","LC",NA,NA,NA,NA,NA,NA
"1101","-CIcIZzz8B4","",70,25,"positive","CULTURE","anticipation","economy"
"1102","-CJ01Pq9Vcw","LC",34,10,"positive","VALUES","positive","economy"
"1106","-CJUvN6BrEU","",464,98,"positive","RURAL","negative","politics"
"1107","-CMlPY7eNJ4","",72,37,"positive","ECONOMY","surprise","military"
"1108","-CVZT7aOcJs","",NA,NA,NA,NA,NA,NA
"1109","-CXcrAzS2kU","",42,24,"positive","URBAN","joy","society"
"1110","-C_hRVM0_po","",58,123,"negative","RURAL","joy","military"
"1112","-CpsFm6USIE","",794,329,"positive","ENVIRONMENT","sadness","society"
"1113","-CrihiFDgpc","",NA,NA,NA,NA,NA,NA
"1114","-CuTvZpbiYs","",59,9,"positive","ECONOMY","surprise","economy"
"1115","-Cw-AOJLBgM","",NA,NA,NA,NA,NA,NA
"1116","-D7nwVpaz9o","",51,23,"positive","VALUES","sadness","society"
"1117","-D9Z6jYlHLo","",NA,NA,NA,NA,NA,NA
"1118","-DAPItNPdoE","",NA,NA,NA,NA,NA,NA
"1120","-DB2xfCk6_A","",NA,NA,NA,NA,NA,NA
"1121","-DCiemPA8QY","",159,56,"positive","RURAL","disgust","diplomacy"
"1122","-DCrIQD2obQ","",269,76,"positive","VALUES","joy","economy"
"1123","-DEe34rUZOc","",NA,NA,NA,NA,NA,NA
"1124","-DF7Gehu08o","",NA,NA,NA,NA,NA,NA
"1129","-DMRd-wodw8","",17,9,"positive","ENVIRONMENT","disgust","diplomacy"
"1130","-DPQ15EgyTY","",99,79,"positive","ENVIRONMENT","fear","military"
"1134","-D_Np-3dVBQ","",NA,NA,NA,NA,NA,NA
"1142","-Dfw3hcFQOg","",36,17,"positive","GROUPS","joy","society"
"1143","-DoL722yNn4","LC",63,52,"positive","INSTITUTIONS","anger","politics"
"1145","-E0RfRS1BAo","C",73,61,"positive","VALUES","positive","economy"
"1146","-E1OhrLhKL8","LC",4,30,"negative","URBAN","negative","society"
"1150","-E8FV5DjVXE","",NA,NA,NA,NA,NA,NA
"1151","-EGK4gGtz44","",NA,NA,NA,NA,NA,NA
"1154","-EJ6Uyt9LOM","",NA,NA,NA,NA,NA,NA
"1155","-ENrcvPICow","LC",1655,722,"positive","ECONOMY","sadness","politics"
"1174","-EQO6YMIzqg","",120,69,"positive","VALUES","sadness","society"
"1175","-ElkqoZLxvg","LC",215,233,"negative","RURAL","anticipation","military"
"1191","-Et0PubgzLk","",NA,NA,NA,NA,NA,NA
"1192","-EvvPZFdjyk","",282,209,"positive","VALUES","negative","economy"
"1236","-F1tAQ5453k","LC",57,20,"positive","VALUES","joy","politics"
"1239","-F9EqYLQKYI","",NA,NA,NA,NA,NA,NA
"1240","-FIQ_vJfs5s","RC",14,25,"negative","INSTITUTIONS","anger","politics"
"1531","-FLlBchonwM","C",NA,NA,NA,NA,NA,NA
"1533","-FOCpMAww28","C",70,20,"positive","ENVIRONMENT","positive","society"
"1534","-FR2-QOFXqg","",206,29,"positive","ENVIRONMENT","disgust","society"
"1535","-FVX3dQj1cY","",30,9,"positive","URBAN","positive","society"
"1543","-FZ-pPFAjYY","",NA,NA,NA,NA,NA,NA
"1544","-FeYSnbnmC8","",NA,NA,NA,NA,NA,NA
"1545","-FfVf9TB_50","",NA,NA,NA,NA,NA,NA
"1546","-FlrTdGxwx0","",176,26,"positive","ECONOMY","trust","economy"
"1547","-FrOgfnoaBo","",NA,NA,NA,NA,NA,NA
"1548","-G-1snRnWuw","",747,478,"positive","URBAN","sadness","society"
"1550","-G2hKjolqLY","",NA,NA,NA,NA,NA,NA
"1565","-G2ivvO5aQY","",NA,NA,NA,NA,NA,NA
"1566","-GI2uQQZsMk","",NA,NA,NA,NA,NA,NA
"1573","-GK7LaT5rxY","",46,46,"positive","ENVIRONMENT","disgust","society"
"1574","-GKnRRHMAiw","",NA,NA,NA,NA,NA,NA
"1577","-GfNEDs3ERw","",NA,NA,NA,NA,NA,NA
"1580","-Gj8UNw5TBE","",134,53,"positive","GROUPS","anticipation","economy"
"1581","-GkWzXGZgBg","",NA,NA,NA,NA,NA,NA
"1582","-Gr3sBPTeLY","",NA,NA,NA,NA,NA,NA
"1583","-GsbKgAtqBI","",NA,NA,NA,NA,NA,NA
"1597","-GvGi_2UKr8","LC",NA,NA,NA,NA,NA,NA
"1604","-GwG1_TkhQI","LC",402,199,"positive","INSTITUTIONS","trust","politics"
"1614","-GyES-BNlUY","L",NA,NA,NA,NA,NA,NA
"1619","-GzDnW_EDb8","",107,117,"negative","VALUES","negative","society"
"1621","-H4BBXt9GvM","LC",75,66,"positive","INSTITUTIONS","trust","politics"
"1625","-HFwok9SlQQ","",120,40,"positive","LAW_AND_ORDER","negative","economy"
"1626","-HGWqeJLpSw","",159,65,"positive","LAW_AND_ORDER","fear","military"
"1627","-HL3PPNrUhU","",34,13,"positive","VALUES","positive","society"
"1637","-Hc7eP-CP7g","",241,225,"positive","ECONOMY","trust","politics"
"1641","-HiTK1_yp3M","",NA,NA,NA,NA,NA,NA
"1642","-HkRkCXPjzw","",NA,NA,NA,NA,NA,NA
"1643","-Hp4xDbYLN8","",NA,NA,NA,NA,NA,NA
"1644","-HpBHWUPa8Q","LC",471,183,"positive","CULTURE","joy","society"
"1651","-Hs8Bh5eMqo","",NA,NA,NA,NA,NA,NA
"1652","-Hu72Cm--xQ","",432,535,"negative","ENVIRONMENT","disgust","society"
"1654","-I1hlhiSdSo","LC",28,33,"negative","CULTURE","trust","society"
"1666","-I2Hb5_pGWM","C",11,13,"negative","ECONOMY","trust","politics"
"1670","-I6D_1Yzf2I","",NA,NA,NA,NA,NA,NA
"1671","-I803ncnvMY","",NA,NA,NA,NA,NA,NA
"1673","-ICZ2RkGdnY","",40,15,"positive","INSTITUTIONS","anger","politics"
"1674","-IF4TUt1D94","",NA,NA,NA,NA,NA,NA
"1675","-IIv-fJuofI","",537,192,"positive","VALUES","positive","politics"
"1677","-IQAhYeHdE8","",NA,NA,NA,NA,NA,NA
"1679","-IXgzc41W3s","",NA,NA,NA,NA,NA,NA
"1680","-ItsLXL10SM","",NA,NA,NA,NA,NA,NA
"1681","-IwXJE2ijPA","",152,78,"positive","ECONOMY","trust","economy"
"1684","-J-wuKfp-Pk","",NA,NA,NA,NA,NA,NA
"1685","-J0eNDT3ALo","",81,14,"positive","CULTURE","joy","society"
"1689","-J5gtFPQJ4Y","RC",NA,NA,NA,NA,NA,NA
"1693","-JA3_QBfjG8","",20,10,"positive","LAW_AND_ORDER","negative","military"
"1697","-JAylKePIoE","",NA,NA,NA,NA,NA,NA
"1698","-JPeYCgcsck","",113,30,"positive","CULTURE","anticipation","economy"
"1699","-JRInMps67E","RC",56,44,"positive","CULTURE","disgust","society"
"1702","-JW7xU9vU1Y","",54,33,"positive","ENVIRONMENT","fear","military"
"1703","-JbG22K3wIA","",NA,NA,NA,NA,NA,NA
"1704","-JbzypWJk64","LC",126,70,"positive","RURAL","anger","economy"
"1705","-JdIchTfvu8","R",NA,NA,NA,NA,NA,NA
"1708","-Jjcw2_DWUM","",NA,NA,NA,NA,NA,NA
"1709","-JrSi7rWWpM","",NA,NA,NA,NA,NA,NA
"1711","-K-GkXe70Vk","",1038,627,"positive","GROUPS","anger","diplomacy"
"1712","-K357CmF0Xk","",NA,NA,NA,NA,NA,NA
"1713","-K4aMVwEww4","C",69,66,"positive","VALUES","positive","society"
"1717","-K6gwI4L9u4","",174,73,"positive","GROUPS","fear","society"
"1718","-KBiHKx54sg","",NA,NA,NA,NA,NA,NA
"1719","-KC7bKYOcl0","",166,50,"positive","RURAL","surprise","diplomacy"
"1720","-KK-MVRk85E","",NA,NA,NA,NA,NA,NA
"1721","-KN4auM8aM8","",734,315,"positive","GROUPS","joy","society"
"1729","-KQGZa773sI","",NA,NA,NA,NA,NA,NA
"1730","-KRRCQ9bcAc","",NA,NA,NA,NA,NA,NA
"1731","-KXdtVRerLw","LC",56,17,"positive","GROUPS","joy","society"
"1732","-KYMn8Pwygw","LC",54,71,"negative","GROUPS","negative","society"
"1733","-KfNjCniogk","",94,32,"positive","CULTURE","joy","economy"
"1734","-KlsbREUHEc","",194,54,"positive","URBAN","joy","society"
"1736","-Kogc8u73Vw","LC",5,16,"negative","LAW_AND_ORDER","negative","military"
"1737","-Kou0HBpX4A","",15,10,"positive","RURAL","anticipation","military"
"1738","-Kovxf6g0mo","",NA,NA,NA,NA,NA,NA
"1739","-KpYtQZGPGo","",376,50,"positive","GROUPS","joy","military"
"1740","-Kts02UJRQM","",NA,NA,NA,NA,NA,NA
"1741","-KwtJX_Tcjo","LC",78,39,"positive","ECONOMY","surprise","economy"
"1742","-KysuBl2m_w","C",126,87,"positive","VALUES","positive","economy"
"1866","-L-MP6sfqDI","",NA,NA,NA,NA,NA,NA
"1868","-L1N7AGB7CQ","LC",NA,NA,NA,NA,NA,NA
"1869","-L2ISN0XbuE","LC",96,36,"positive","URBAN","joy","society"
"1870","-L3VK_AJOSs","",19,7,"positive","URBAN","negative","diplomacy"
"1871","-L5BRdZ5aeE","",NA,NA,NA,NA,NA,NA
"1874","-L5YRq4HWaY","",164,66,"positive","ECONOMY","anger","society"
"1880","-L7o6HtX8Vg","LC",200,164,"positive","LAW_AND_ORDER","negative","diplomacy"
"1914","-LUuqxQSaFQ","",176,116,"positive","ENVIRONMENT","disgust","diplomacy"
"1915","-LZZJTR0GxE","C",129,26,"positive","ENVIRONMENT","sadness","society"
"1916","-LaZvctwb6Y","",NA,NA,NA,NA,NA,NA
"1917","-Lcb78d6m70","",NA,NA,NA,NA,NA,NA
"1918","-Lj7Se2CNkU","",NA,NA,NA,NA,NA,NA
"1919","-LuAuZ09uSs","LC",442,166,"positive","ENVIRONMENT","disgust","diplomacy"
"1926","-LwX3n0JW1c","",132,72,"positive","LAW_AND_ORDER","fear","politics"
"1930","-LwhGBiDhLQ","LC",NA,NA,NA,NA,NA,NA
"1933","-LzatfgOQ9c","",325,451,"negative","VALUES","fear","politics"
"1934","-M0zGhDDp2k","",NA,NA,NA,NA,NA,NA
"1940","-M3mmslebKM","",NA,NA,NA,NA,NA,NA
"1941","-M5mv2o1quE","LC",124,54,"positive","CULTURE","anticipation","society"
"1943","-M7KLNHP_Ic","",7,3,"positive","LAW_AND_ORDER","fear","military"
"1944","-M8CU2OD7Qc","",NA,NA,NA,NA,NA,NA
"1945","-M8Hl5MUr8w","",349,111,"positive","VALUES","positive","economy"
"1946","-MBycxb3D-g","",138,49,"positive","VALUES","joy","politics"
"1947","-MCIrAJ8QKE","L",NA,NA,NA,NA,NA,NA
"1948","-MLayww4NrA","",359,71,"positive","ECONOMY","sadness","economy"
"1949","-MM0T4CvgqM","LC",NA,NA,NA,NA,NA,NA
"1950","-MRO7lqG2-g","",294,149,"positive","GROUPS","joy","military"
"1951","-MRowe6tKWY","",NA,NA,NA,NA,NA,NA
"1952","-MT6QYluPa4","",452,250,"positive","GROUPS","anger","diplomacy"
"1953","-MTRxRO5SRA","C",NA,NA,NA,NA,NA,NA
"1955","-MTkYRHqaQs","",NA,NA,NA,NA,NA,NA
"1958","-MgeY8HlSac","",9,12,"negative","ENVIRONMENT","disgust","society"
"1961","-Mmk0JddZ9A","LC",4,12,"negative","LAW_AND_ORDER","fear","military"
"1962","-MoLdQA7aSg","",NA,NA,NA,NA,NA,NA
"1969","-MpuEWkmQt8","",NA,NA,NA,NA,NA,NA
"1970","-MuTXU_Xnys","LC",NA,NA,NA,NA,NA,NA
"1971","-MvikWTx-kw","",47,11,"positive","URBAN","joy","society"
"1972","-MyaWgujjCc","LC",143,76,"positive","VALUES","positive","society"
"1973","-N7ZUj74E9o","C",43,19,"positive","INSTITUTIONS","anger","politics"
"1978","-NEAEZlzHJA","LC",NA,NA,NA,NA,NA,NA
"1982","-NHHc4nIhxk","",NA,NA,NA,NA,NA,NA
"1984","-NJAuKpoIYk","L",59,101,"negative","INSTITUTIONS","trust","politics"
